t	x_d	y_d	theta_d	Vr	oz	Vdot
32.600000	6.520000	0.000000	0.000000	0.200000	0.000000	0.000000
32.700000	6.540000	0.000000	0.000000	0.200000	0.000000	0.000000
32.800000	6.560000	0.000000	0.000000	0.200000	0.000000	0.000000
32.900000	6.580000	0.000000	0.000000	0.200000	0.000000	0.000000
33.000000	6.600000	0.000000	0.000000	0.200000	0.000000	0.000000
33.100000	6.620000	0.000000	0.000000	0.200000	0.000000	0.000000
33.200000	6.640000	0.000000	0.000000	0.200000	0.000000	0.000000
33.300000	6.660000	0.000000	0.000000	0.200000	0.000000	0.000000
33.400000	6.680000	0.000000	0.000000	0.200000	0.000000	0.000000
33.500000	6.700000	0.000000	0.000000	0.200000	0.000000	0.000000
33.600000	6.720000	0.000000	0.000000	0.200000	0.000000	0.000000
33.700000	6.740000	0.000000	0.000000	0.200000	0.000000	0.000000
33.800000	6.760000	0.000000	0.000000	0.200000	0.000000	0.000000
33.900000	6.780000	0.000000	0.000000	0.200000	0.000000	0.000000
34.000000	6.800000	0.000000	0.000000	0.200000	0.000000	0.000000
34.100000	6.820000	0.000000	0.000000	0.200000	0.000000	0.000000
34.200000	6.840000	0.000000	0.000000	0.200000	0.000000	0.000000
34.300000	6.860000	0.000000	0.000000	0.200000	0.000000	0.000000
34.400000	6.880000	0.000000	0.000000	0.200000	0.000000	0.000000
34.500000	6.900000	0.000000	0.000000	0.200000	0.000000	0.000000
34.600000	6.920000	0.000000	0.000000	0.200000	0.000000	0.000000
34.700000	6.940000	0.000000	0.000000	0.200000	0.000000	0.000000
34.800000	6.960000	0.000000	0.000000	0.200000	0.000000	0.000000
34.900000	6.980000	0.000000	0.000000	0.200000	0.000000	0.000000
35.000000	7.000000	0.000000	0.000000	0.200000	0.000000	0.000000
35.100000	7.020000	0.000000	0.000000	0.200000	0.000000	0.000000
35.200000	7.040000	0.000000	0.000000	0.200000	0.000000	0.000000
35.300000	7.060000	0.000000	0.000000	0.200000	0.000000	0.000000
35.400000	7.080000	0.000000	0.000000	0.200000	0.000000	0.000000
35.500000	7.100000	0.000000	0.000000	0.200000	0.000000	0.000000
35.600000	7.120000	0.000000	0.000000	0.200000	0.000000	0.000000
35.700000	7.140000	0.000000	0.000000	0.200000	0.000000	0.000000
35.800000	7.160000	0.000000	0.000000	0.200000	0.000000	0.000000
35.900000	7.180000	0.000000	0.000000	0.200000	0.000000	0.000000
36.000000	7.200000	0.000000	0.000000	0.200000	0.000000	0.000000
36.100000	7.220000	0.000000	0.000000	0.200000	0.000000	0.000000
36.200000	7.240000	0.000000	0.000000	0.200000	0.000000	0.000000
36.300000	7.260000	0.000000	0.000000	0.200000	0.000000	0.000000
36.400000	7.280000	0.000000	0.000000	0.200000	0.000000	0.000000
36.500000	7.300000	0.000000	0.000000	0.200000	0.000000	0.000000
36.600000	7.320000	0.000000	0.000000	0.200000	0.000000	0.000000
36.700000	7.340000	0.000000	0.000000	0.200000	0.000000	0.000000
36.800000	7.360000	0.000000	0.000000	0.200000	0.000000	0.000000
36.900000	7.380000	0.000000	0.000000	0.200000	0.000000	0.000000
37.000000	7.400000	0.000000	0.000000	0.200000	0.000000	0.000000
37.100000	7.420000	0.000000	0.000000	0.200000	0.000000	0.000000
37.200000	7.440000	0.000000	0.000000	0.200000	0.000000	0.000000
37.300000	7.460000	0.000000	0.000000	0.200000	0.000000	0.000000
37.400000	7.480000	0.000000	0.000000	0.200000	0.000000	0.000000
37.500000	7.500000	0.000000	0.000000	0.200000	0.000000	0.000000
37.600000	7.520000	0.000000	0.000000	0.200000	0.000000	0.000000
37.700000	7.540000	0.000000	0.000000	0.200000	0.000000	0.000000
37.800000	7.560000	0.000000	0.000000	0.200000	0.000000	0.000000
37.900000	7.580000	0.000000	0.000000	0.200000	0.000000	0.000000
38.000000	7.600000	0.000000	0.000000	0.200000	0.000000	0.000000
38.100000	7.620000	0.000000	0.000000	0.200000	0.000000	0.000000
38.200000	7.640000	0.000000	0.000000	0.200000	0.000000	0.000000
38.300000	7.660000	0.000000	0.000000	0.200000	0.000000	0.000000
38.400000	7.680000	0.000000	0.000000	0.200000	0.000000	0.000000
38.500000	7.700000	0.000000	0.000000	0.200000	0.000000	0.000000
38.600000	7.720000	0.000000	0.000000	0.200000	0.000000	0.000000
38.700000	7.740000	0.000000	0.000000	0.200000	0.000000	0.000000
38.800000	7.760000	0.000000	0.000000	0.200000	0.000000	0.000000
38.900000	7.780000	0.000000	0.000000	0.200000	0.000000	0.000000
39.000000	7.800000	0.000000	0.000000	0.200000	0.000000	0.000000
39.100000	7.820000	0.000000	0.000000	0.200000	0.000000	0.000000
39.200000	7.840000	0.000000	0.000000	0.200000	0.000000	0.000000
39.300000	7.860000	0.000000	0.000000	0.200000	0.000000	0.000000
39.400000	7.880000	0.000000	0.000000	0.200000	0.000000	0.000000
